"Group","Day No","Period No","Reason"
"12VM A","3","1","Not at School"
"12VM A","3","2","Not at School"
"12VM A","3","3","Not at School"
"12VM A","3","4","Not at School"
"12VM A","3","5","Not at School"
"12VM A","3","6","Not at School"
"12VM A","5","1","Not at School"
"12VM A","5","2","Not at School"
"12VM A","5","3","Not at School"
"12VM A","5","4","Not at School"
"12VM A","5","5","Not at School"
"12VM A","5","6","Not at School"
"12VM A","8","1","Not at School"
"12VM A","8","2","Not at School"
"12VM A","8","3","Not at School"
"12VM A","8","4","Not at School"
"12VM A","8","5","Not at School"
"12VM A","8","6","Not at School"
"12VM A","10","1","Not at School"
"12VM A","10","2","Not at School"
"12VM A","10","3","Not at School"
"12VM A","10","4","Not at School"
"12VM A","10","5","Not at School"
"12VM A","10","6","Not at School"
"12VM B","3","1","Not at School"
"12VM B","3","2","Not at School"
"12VM B","3","3","Not at School"
"12VM B","3","4","Not at School"
"12VM B","3","5","Not at School"
"12VM B","3","6","Not at School"
"12VM B","5","1","Not at School"
"12VM B","5","2","Not at School"
"12VM B","5","3","Not at School"
"12VM B","5","4","Not at School"
"12VM B","5","5","Not at School"
"12VM B","5","6","Not at School"
"12VM B","8","1","Not at School"
"12VM B","8","2","Not at School"
"12VM B","8","3","Not at School"
"12VM B","8","4","Not at School"
"12VM B","8","5","Not at School"
"12VM B","8","6","Not at School"
"12VM B","10","1","Not at School"
"12VM B","10","2","Not at School"
"12VM B","10","3","Not at School"
"12VM B","10","4","Not at School"
"12VM B","10","5","Not at School"
"12VM B","10","6","Not at School"
"12VM C","3","1","Not At School"
"12VM C","3","2","Not At School"
"12VM C","3","3","Not At School"
"12VM C","3","4","Not At School"
"12VM C","3","5","Not At School"
"12VM C","3","6","Not At School"
"12VM C","5","1","Not At School"
"12VM C","5","2","Not At School"
"12VM C","5","3","Not At School"
"12VM C","5","4","Not At School"
"12VM C","5","5","Not At School"
"12VM C","5","6","Not At School"
"12VM C","8","1","Not At School"
"12VM C","8","2","Not At School"
"12VM C","8","3","Not At School"
"12VM C","8","4","Not At School"
"12VM C","8","5","Not At School"
"12VM C","8","6","Not At School"
"12VM C","10","1","Not At School"
"12VM C","10","2","Not At School"
"12VM C","10","3","Not At School"
"12VM C","10","4","Not At School"
"12VM C","10","5","Not At School"
"12VM C","10","6","Not At School"
"12VM D","3","1","Not at School"
"12VM D","3","2","Not at School"
"12VM D","3","3","Not at School"
"12VM D","3","4","Not at School"
"12VM D","3","5","Not at School"
"12VM D","3","6","Not at School"
"12VM D","5","1","Not at School"
"12VM D","5","2","Not at School"
"12VM D","5","3","Not at School"
"12VM D","5","4","Not at School"
"12VM D","5","5","Not at School"
"12VM D","5","6","Not at School"
"12VM D","8","1","Not at School"
"12VM D","8","2","Not at School"
"12VM D","8","3","Not at School"
"12VM D","8","4","Not at School"
"12VM D","8","5","Not at School"
"12VM D","8","6","Not at School"
"12VM D","10","1","Not at School"
"12VM D","10","2","Not at School"
"12VM D","10","3","Not at School"
"12VM D","10","4","Not at School"
"12VM D","10","5","Not at School"
"12VM D","10","6","Not at School"
"11VM A","1","2","Students in Blocks"
"11VM A","1","5","Students in Blocks"
"11VM A","1","6","Students in Blocks"
"11VM A","2","1","Students in Blocks"
"11VM A","2","2","Students in Blocks"
"11VM A","2","5","Students in Blocks"
"11VM A","3","1","Students in Blocks"
"11VM A","3","2","Students in Blocks"
"11VM A","3","3","Students in Blocks"
"11VM A","3","4","Students in Blocks"
"11VM A","3","5","Students in Blocks"
"11VM A","3","6","Students in Blocks"
"11VM A","4","1","Students in Blocks"
"11VM A","4","2","Students in Blocks"
"11VM A","4","3","Students in Blocks"
"11VM A","4","4","Students in Blocks"
"11VM A","4","5","Students in Blocks"
"11VM A","4","6","Students in Blocks"
"11VM A","5","1","Students in Blocks"
"11VM A","5","5","Students in Blocks"
"11VM A","6","2","Students in Blocks"
"11VM A","6","5","Students in Blocks"
"11VM A","6","6","Students in Blocks"
"11VM A","7","1","Students in Blocks"
"11VM A","7","2","Students in Blocks"
"11VM A","8","1","Students in Blocks"
"11VM A","8","2","Students in Blocks"
"11VM A","8","3","Students in Blocks"
"11VM A","8","4","Students in Blocks"
"11VM A","8","5","Students in Blocks"
"11VM A","8","6","Students in Blocks"
"11VM A","9","1","Students in Blocks"
"11VM A","9","2","Students in Blocks"
"11VM A","9","3","Students in Blocks"
"11VM A","9","4","Students in Blocks"
"11VM A","9","5","Students in Blocks"
"11VM A","9","6","Students in Blocks"
"11VM A","10","1","Students in Blocks"
"11VM A","10","5","Students in Blocks"
"11VM B","1","2","Students in Blocks"
"11VM B","1","5","Students in Blocks"
"11VM B","1","6","Students in Blocks"
"11VM B","2","1","Students in Blocks"
"11VM B","2","2","Students in Blocks"
"11VM B","2","5","Students in Blocks"
"11VM B","3","1","Students in Blocks"
"11VM B","3","2","Students in Blocks"
"11VM B","3","3","Students in Blocks"
"11VM B","3","4","Students in Blocks"
"11VM B","3","5","Students in Blocks"
"11VM B","3","6","Students in Blocks"
"11VM B","4","1","Students in Blocks"
"11VM B","4","2","Students in Blocks"
"11VM B","4","3","Students in Blocks"
"11VM B","4","4","Students in Blocks"
"11VM B","4","5","Students in Blocks"
"11VM B","4","6","Students in Blocks"
"11VM B","5","1","Students in Blocks"
"11VM B","5","5","Students in Blocks"
"11VM B","6","2","Students in Blocks"
"11VM B","6","5","Students in Blocks"
"11VM B","6","6","Students in Blocks"
"11VM B","7","1","Students in Blocks"
"11VM B","7","2","Students in Blocks"
"11VM B","8","1","Students in Blocks"
"11VM B","8","2","Students in Blocks"
"11VM B","8","3","Students in Blocks"
"11VM B","8","4","Students in Blocks"
"11VM B","8","5","Students in Blocks"
"11VM B","8","6","Students in Blocks"
"11VM B","9","1","Students in Blocks"
"11VM B","9","2","Students in Blocks"
"11VM B","9","3","Students in Blocks"
"11VM B","9","4","Students in Blocks"
"11VM B","9","5","Students in Blocks"
"11VM B","9","6","Students in Blocks"
"11VM B","10","1","Students in Blocks"
"11VM B","10","5","Students in Blocks"
