"Unavailable","Teacher Code","Day No","Period No","Reason"
"False","FOL","5","1","Not at school"
"False","FOL","5","2","Not at school"
"False","FOL","5","3","Not at school"
"False","FOL","5","4","Not at school"
"False","FOL","5","5","Not at school"
"False","FOL","5","6","Not at school"
"False","FOL","10","1","Not at school"
"False","FOL","10","2","Not at school"
"False","FOL","10","3","Not at school"
"False","FOL","10","4","Not at school"
"False","FOL","10","5","Not at school"
"False","FOL","10","6","Not at school"
"False","HES","5","1","Not at school"
"False","HES","5","2","Not at school"
"False","HES","5","3","Not at school"
"False","HES","5","4","Not at school"
"False","HES","5","5","Not at school"
"False","HES","5","6","Not at school"
"False","HES","10","1","Not at school"
"False","HES","10","2","Not at school"
"False","HES","10","3","Not at school"
"False","HES","10","4","Not at school"
"False","HES","10","5","Not at school"
"False","HES","10","6","Not at school"
"False","HAO","3","1","Not at school"
"False","HAO","3","2","Not at school"
"False","HAO","3","3","Not at school"
"False","HAO","3","4","Not at school"
"False","HAO","3","5","Not at school"
"False","HAO","3","6","Not at school"
"False","HAO","4","1","Not at school"
"False","HAO","4","2","Not at school"
"False","HAO","4","3","Not at school"
"False","HAO","4","4","Not at school"
"False","HAO","4","5","Not at school"
"False","HAO","4","6","Not at school"
"False","HAO","5","1","Not at school"
"False","HAO","5","2","Not at school"
"False","HAO","5","3","Not at school"
"False","HAO","5","4","Not at school"
"False","HAO","5","5","Not at school"
"False","HAO","5","6","Not at school"
"False","HAO","8","1","Not at school"
"False","HAO","8","2","Not at school"
"False","HAO","8","3","Not at school"
"False","HAO","8","4","Not at school"
"False","HAO","8","5","Not at school"
"False","HAO","8","6","Not at school"
"False","HAO","9","1","Not at school"
"False","HAO","9","2","Not at school"
"False","HAO","9","3","Not at school"
"False","HAO","9","4","Not at school"
"False","HAO","9","5","Not at school"
"False","HAO","9","6","Not at school"
"False","HAO","10","1","Not at school"
"False","HAO","10","2","Not at school"
"False","HAO","10","3","Not at school"
"False","HAO","10","4","Not at school"
"False","HAO","10","5","Not at school"
"False","HAO","10","6","Not at school"
"False","HOW","8","1","Not at school"
"False","HOW","8","2","Not at school"
"False","HOW","8","3","Not at school"
"False","HOW","8","4","Not at school"
"False","HOW","8","5","Not at school"
"False","HOW","8","6","Not at school"
"False","HTD","1","1","Not at school"
"False","HTD","1","2","Not at school"
"False","HTD","1","3","Not at school"
"False","HTD","1","4","Not at school"
"False","HTD","1","5","Not at school"
"False","HTD","1","6","Not at school"
"False","HTD","2","1","Not at school"
"False","HTD","2","2","Not at school"
"False","HTD","2","3","Not at school"
"False","HTD","2","4","Not at school"
"False","HTD","2","5","Not at school"
"False","HTD","2","6","Not at school"
"False","HTD","5","1","Not at school"
"False","HTD","5","2","Not at school"
"False","HTD","5","3","Not at school"
"False","HTD","5","4","Not at school"
"False","HTD","5","5","Not at school"
"False","HTD","5","6","Not at school"
"False","HTD","6","1","Not at school"
"False","HTD","6","2","Not at school"
"False","HTD","6","3","Not at school"
"False","HTD","6","4","Not at school"
"False","HTD","6","5","Not at school"
"False","HTD","6","6","Not at school"
"False","HTD","7","1","Not at school"
"False","HTD","7","2","Not at school"
"False","HTD","7","3","Not at school"
"False","HTD","7","4","Not at school"
"False","HTD","7","5","Not at school"
"False","HTD","7","6","Not at school"
"False","HTD","10","1","Not at school"
"False","HTD","10","2","Not at school"
"False","HTD","10","3","Not at school"
"False","HTD","10","4","Not at school"
"False","HTD","10","5","Not at school"
"False","HTD","10","6","Not at school"
"False","LEV","5","1","Not at school"
"False","LEV","5","2","Not at school"
"False","LEV","5","3","Not at school"
"False","LEV","5","4","Not at school"
"False","LEV","5","5","Not at school"
"False","LEV","5","6","Not at school"
"False","LEV","8","1","Not at school"
"False","LEV","8","2","Not at school"
"False","LEV","8","3","Not at school"
"False","LEV","8","4","Not at school"
"False","LEV","8","5","Not at school"
"False","LEV","8","6","Not at school"
"False","MAX","5","1","Not at school"
"False","MAX","5","2","Not at school"
"False","MAX","5","3","Not at school"
"False","MAX","5","4","Not at school"
"False","MAX","5","5","Not at school"
"False","MAX","5","6","Not at school"
"False","MAX","10","1","Not at school"
"False","MAX","10","2","Not at school"
"False","MAX","10","3","Not at school"
"False","MAX","10","4","Not at school"
"False","MAX","10","5","Not at school"
"False","MAX","10","6","Not at school"
"False","MEB","3","1","Not at school"
"False","MEB","3","2","Not at school"
"False","MEB","3","3","Not at school"
"False","MEB","3","4","Not at school"
"False","MEB","3","5","Not at school"
"False","MEB","3","6","Not at school"
"False","MEB","8","1","Not at school"
"False","MEB","8","2","Not at school"
"False","MEB","8","3","Not at school"
"False","MEB","8","4","Not at school"
"False","MEB","8","5","Not at school"
"False","MEB","8","6","Not at school"
"False","SMY","3","1","Not at school"
"False","SMY","3","2","Not at school"
"False","SMY","3","3","Not at school"
"False","SMY","3","4","Not at school"
"False","SMY","3","5","Not at school"
"False","SMY","3","6","Not at school"
"False","SMY","4","1","Not at school"
"False","SMY","4","2","Not at school"
"False","SMY","4","3","Not at school"
"False","SMY","4","4","Not at school"
"False","SMY","4","5","Not at school"
"False","SMY","4","6","Not at school"
"False","SMY","8","1","Not at school"
"False","SMY","8","2","Not at school"
"False","SMY","8","3","Not at school"
"False","SMY","8","4","Not at school"
"False","SMY","8","5","Not at school"
"False","SMY","8","6","Not at school"
"False","SMY","9","1","Not at school"
"False","SMY","9","2","Not at school"
"False","SMY","9","3","Not at school"
"False","SMY","9","4","Not at school"
"False","SMY","9","5","Not at school"
"False","SMY","9","6","Not at school"
"False","SDJ","1","1","Not at school"
"False","SDJ","1","2","Not at school"
"False","SDJ","1","3","Not at school"
"False","SDJ","1","4","Not at school"
"False","SDJ","1","5","Not at school"
"False","SDJ","1","6","Not at school"
"False","SDJ","3","1","Not at school"
"False","SDJ","3","2","Not at school"
"False","SDJ","3","3","Not at school"
"False","SDJ","3","4","Not at school"
"False","SDJ","3","5","Not at school"
"False","SDJ","3","6","Not at school"
"False","SDJ","5","1","Not at school"
"False","SDJ","5","2","Not at school"
"False","SDJ","5","3","Not at school"
"False","SDJ","5","4","Not at school"
"False","SDJ","5","5","Not at school"
"False","SDJ","5","6","Not at school"
"False","SDJ","6","1","Not at school"
"False","SDJ","6","2","Not at school"
"False","SDJ","6","3","Not at school"
"False","SDJ","6","4","Not at school"
"False","SDJ","6","5","Not at school"
"False","SDJ","6","6","Not at school"
"False","SDJ","8","1","Not at school"
"False","SDJ","8","2","Not at school"
"False","SDJ","8","3","Not at school"
"False","SDJ","8","4","Not at school"
"False","SDJ","8","5","Not at school"
"False","SDJ","8","6","Not at school"
"False","SDJ","10","1","Not at school"
"False","SDJ","10","2","Not at school"
"False","SDJ","10","3","Not at school"
"False","SDJ","10","4","Not at school"
"False","SDJ","10","5","Not at school"
"False","SDJ","10","6","Not at school"
"False","TRI","2","1","Not at school"
"False","TRI","2","2","Not at school"
"False","TRI","2","3","Not at school"
"False","TRI","2","4","Not at school"
"False","TRI","2","5","Not at school"
"False","TRI","2","6","Not at school"
"False","TRI","7","1","Not at school"
"False","TRI","7","2","Not at school"
"False","TRI","7","3","Not at school"
"False","TRI","7","4","Not at school"
"False","TRI","7","5","Not at school"
"False","TRI","7","6","Not at school"
"False","TRI","5","1","Not at school"
"False","TRI","5","2","Not at school"
"False","TRI","5","3","Not at school"
"False","TRI","5","4","Not at school"
"False","TRI","5","5","Not at school"
"False","TRI","5","6","Not at school"
"False","TRI","9","1","Not at school"
"False","TRI","9","2","Not at school"
"False","TRI","9","3","Not at school"
"False","TRI","9","4","Not at school"
"False","TRI","9","5","Not at school"
"False","TRI","9","6","Not at school"
"True","BML","3","5","Unavailable"
"True","BML","3","6","Unavailable"
"True","BML","8","5","Unavailable"
"True","BML","8","6","Unavailable"
"False","CLA","4","1","Not at school"
"False","CLA","4","2","Not at school"
"False","CLA","4","3","Not at school"
"False","CLA","4","4","Not at school"
"False","CLA","4","5","Not at school"
"False","CLA","4","6","Not at school"
"False","CLA","5","1","Not at school"
"False","CLA","5","2","Not at school"
"False","CLA","5","3","Not at school"
"False","CLA","5","4","Not at school"
"False","CLA","5","5","Not at school"
"False","CLA","5","6","Not at school"
"False","CLA","9","1","Not at school"
"False","CLA","9","2","Not at school"
"False","CLA","9","3","Not at school"
"False","CLA","9","4","Not at school"
"False","CLA","9","5","Not at school"
"False","CLA","9","6","Not at school"
"False","CLK","4","1","Not at school"
"False","CLK","4","2","Not at school"
"False","CLK","4","3","Not at school"
"False","CLK","4","4","Not at school"
"False","CLK","4","5","Not at school"
"False","CLK","4","6","Not at school"
"False","CLK","9","1","Not at school"
"False","CLK","9","2","Not at school"
"False","CLK","9","3","Not at school"
"False","CLK","9","4","Not at school"
"False","CLK","9","5","Not at school"
"False","CLK","9","6","Not at school"
"False","CRI","10","1","Not at school"
"False","CRI","10","2","Not at school"
"False","CRI","10","3","Not at school"
"False","CRI","10","4","Not at school"
"False","CRI","10","5","Not at school"
"False","CRI","10","6","Not at school"
"False","CRI","3","1","Not at school"
"False","CRI","3","2","Not at school"
"False","CRI","3","3","Not at school"
"False","CRI","3","4","Not at school"
"False","CRI","3","5","Not at school"
"False","CRI","3","6","Not at school"
"False","CRI","5","1","Not at school"
"False","CRI","5","2","Not at school"
"False","CRI","5","3","Not at school"
"False","CRI","5","4","Not at school"
"False","CRI","5","5","Not at school"
"False","CRI","5","6","Not at school"
"False","CRI","8","1","Not at school"
"False","CRI","8","2","Not at school"
"False","CRI","8","3","Not at school"
"False","CRI","8","4","Not at school"
"False","CRI","8","5","Not at school"
"False","CRI","8","6","Not at school"
"True","CRI","9","5","Unavailable"
"True","CRI","9","6","Unavailable"
"True","CRI","4","4","Unavailable"
"False","FEL","2","1","Not at school"
"False","FEL","2","2","Not at school"
"False","FEL","2","3","Not at school"
"False","FEL","2","4","Not at school"
"False","FEL","2","5","Not at school"
"False","FEL","2","6","Not at school"
"False","FEL","7","1","Not at school"
"False","FEL","7","2","Not at school"
"False","FEL","7","3","Not at school"
"False","FEL","7","4","Not at school"
"False","FEL","7","5","Not at school"
"False","FEL","7","6","Not at school"
"False","FIT","4","1","Not at school"
"False","FIT","4","2","Not at school"
"False","FIT","4","3","Not at school"
"False","FIT","4","4","Not at school"
"False","FIT","4","5","Not at school"
"False","FIT","4","6","Not at school"
"False","FIT","5","1","Not at school"
"False","FIT","5","2","Not at school"
"False","FIT","5","3","Not at school"
"False","FIT","5","4","Not at school"
"False","FIT","5","5","Not at school"
"False","FIT","5","6","Not at school"
"False","FIT","9","1","Not at school"
"False","FIT","9","2","Not at school"
"False","FIT","9","3","Not at school"
"False","FIT","9","4","Not at school"
"False","FIT","9","5","Not at school"
"False","FIT","9","6","Not at school"
"False","FIT","10","1","Not at school"
"False","FIT","10","2","Not at school"
"False","FIT","10","3","Not at school"
"False","FIT","10","4","Not at school"
"False","FIT","10","5","Not at school"
"False","FIT","10","6","Not at school"
"False","GIB","2","1","Not at school"
"False","GIB","2","2","Not at school"
"False","GIB","2","3","Not at school"
"False","GIB","2","4","Not at school"
"False","GIB","2","5","Not at school"
"False","GIB","2","6","Not at school"
"False","GIB","7","1","Not at school"
"False","GIB","7","2","Not at school"
"False","GIB","7","3","Not at school"
"False","GIB","7","4","Not at school"
"False","GIB","7","5","Not at school"
"False","GIB","7","6","Not at school"
"True","HIN","3","5","Unavailable"
"True","HIN","3","6","Unavailable"
"True","HIN","8","5","Unavailable"
"True","HIN","8","6","Unavailable"
"False","HLE","5","1","Not at school"
"False","HLE","5","5","Not at school"
"False","HLE","5","6","Not at school"
"False","HLE","10","1","Not at school"
"False","HLE","10","5","Not at school"
"False","HLE","10","6","Not at school"
"False","KEJ","5","1","Not at school"
"False","KEJ","5","2","Not at school"
"False","KEJ","5","3","Not at school"
"False","KEJ","5","4","Not at school"
"False","KEJ","5","5","Not at school"
"False","KEJ","5","6","Not at school"
"False","KEJ","10","1","Not at school"
"False","KEJ","10","2","Not at school"
"False","KEJ","10","3","Not at school"
"False","KEJ","10","4","Not at school"
"False","KEJ","10","5","Not at school"
"False","KEJ","10","6","Not at school"
"False","KEJ","4","1","Not at school"
"False","KEJ","4","2","Not at school"
"False","KEJ","4","3","Not at school"
"False","KEJ","4","4","Not at school"
"False","KEJ","4","5","Not at school"
"False","KEJ","4","6","Not at school"
"False","KEJ","9","1","Not at school"
"False","KEJ","9","2","Not at school"
"False","KEJ","9","3","Not at school"
"False","KEJ","9","4","Not at school"
"False","KEJ","9","5","Not at school"
"False","KEJ","9","6","Not at school"
"True","KEJ","6","2","Unavailable"
"True","KEJ","3","3","Unavailable"
"False","KNO","2","1","Not at school"
"False","KNO","2","2","Not at school"
"False","KNO","2","3","Not at school"
"False","KNO","2","4","Not at school"
"False","KNO","2","5","Not at school"
"False","KNO","2","6","Not at school"
"False","KNO","7","1","Not at school"
"False","KNO","7","2","Not at school"
"False","KNO","7","3","Not at school"
"False","KNO","7","4","Not at school"
"False","KNO","7","5","Not at school"
"False","KNO","7","6","Not at school"
"False","LIA","4","1","Not at school"
"False","LIA","4","2","Not at school"
"False","LIA","4","3","Not at school"
"False","LIA","4","4","Not at school"
"False","LIA","4","5","Not at school"
"False","LIA","4","6","Not at school"
"False","LIA","9","1","Not at school"
"False","LIA","9","2","Not at school"
"False","LIA","9","3","Not at school"
"False","LIA","9","4","Not at school"
"False","LIA","9","5","Not at school"
"False","LIA","9","6","Not at school"
"False","LIA","5","1","Not at school"
"False","LIA","5","2","Not at school"
"False","LIA","5","3","Not at school"
"False","LIA","5","4","Not at school"
"False","LIA","5","5","Not at school"
"False","LIA","5","6","Not at school"
"False","LIA","10","1","Not at school"
"False","LIA","10","2","Not at school"
"False","LIA","10","3","Not at school"
"False","LIA","10","4","Not at school"
"False","LIA","10","5","Not at school"
"False","LIA","10","6","Not at school"
"False","MAN","4","1","Not at school"
"False","MAN","4","2","Not at school"
"False","MAN","4","3","Not at school"
"False","MAN","4","4","Not at school"
"False","MAN","4","5","Not at school"
"False","MAN","4","6","Not at school"
"False","MAN","5","1","Not at school"
"False","MAN","5","2","Not at school"
"False","MAN","5","3","Not at school"
"False","MAN","5","4","Not at school"
"False","MAN","5","5","Not at school"
"False","MAN","5","6","Not at school"
"False","MAN","9","1","Not at school"
"False","MAN","9","2","Not at school"
"False","MAN","9","3","Not at school"
"False","MAN","9","4","Not at school"
"False","MAN","9","5","Not at school"
"False","MAN","9","6","Not at school"
"False","MAN","10","1","Not at school"
"False","MAN","10","2","Not at school"
"False","MAN","10","3","Not at school"
"False","MAN","10","4","Not at school"
"False","MAN","10","5","Not at school"
"False","MAN","10","6","Not at school"
"False","MAR","3","1","Not at school"
"False","MAR","3","2","Not at school"
"False","MAR","3","3","Not at school"
"False","MAR","3","4","Not at school"
"False","MAR","3","5","Not at school"
"False","MAR","3","6","Not at school"
"False","MAR","8","1","Not at school"
"False","MAR","8","2","Not at school"
"False","MAR","8","3","Not at school"
"False","MAR","8","4","Not at school"
"False","MAR","8","5","Not at school"
"False","MAR","8","6","Not at school"
"True","MCI","8","5","Unavailable"
"True","MCI","8","6","Unavailable"
"True","MCI","3","5","Unavailable"
"True","MCI","3","6","Unavailable"
"True","OSH","3","5","Unavailable"
"True","OSH","3","6","Unavailable"
"True","OSH","8","5","Unavailable"
"True","OSH","8","6","Unavailable"
"True","PEL","3","5","Unavailable"
"True","PEL","3","6","Unavailable"
"True","PEL","8","5","Unavailable"
"True","PEL","8","6","Unavailable"
"True","RIC","3","5","Unavailable"
"True","RIC","3","6","Unavailable"
"True","RIC","8","5","Unavailable"
"True","RIC","8","6","Unavailable"
"False","SPK","3","1","Not at school"
"False","SPK","3","2","Not at school"
"False","SPK","3","3","Not at school"
"False","SPK","3","4","Not at school"
"False","SPK","3","5","Not at school"
"False","SPK","3","6","Not at school"
"False","SPK","8","1","Not at school"
"False","SPK","8","2","Not at school"
"False","SPK","8","3","Not at school"
"False","SPK","8","4","Not at school"
"False","SPK","8","5","Not at school"
"False","SPK","8","6","Not at school"
"False","SPK","5","1","Not at school"
"False","SPK","5","2","Not at school"
"False","SPK","5","3","Not at school"
"False","SPK","5","4","Not at school"
"False","SPK","5","5","Not at school"
"False","SPK","5","6","Not at school"
"False","SPK","10","1","Not at school"
"False","SPK","10","2","Not at school"
"False","SPK","10","3","Not at school"
"False","SPK","10","4","Not at school"
"False","SPK","10","5","Not at school"
"False","SPK","10","6","Not at school"
"True","WEO","3","5","Unavailable"
"True","WEO","3","6","Unavailable"
"True","WEO","8","5","Unavailable"
"True","WEO","8","6","Unavailable"
